Koordinatensystem : Lambert konform konisch
Rechtswert        : 4179500 Meter
Hochwert          : 2403500 Meter
Hoehenlage        : 404 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4179500 2403500  1  3 21  -6.2  972 350  1.0 5  2.3  91    0    0 235 -299  2
4179500 2403500  1  3 22  -6.1  972 340  1.0 8  2.3  90    0    0 238 -297  2
4179500 2403500  1  3 23  -6.5  972 160  0.8 8  2.2  90    0    0 248 -295  2
4179500 2403500  1  3 24  -6.8  972 320  1.0 6  2.2  90    0    0 238 -295  2
4179500 2403500  1  4  1  -6.7  972 270  1.2 7  2.1  90    0    0 234 -296  2
4179500 2403500  1  4  2  -6.8  971 310  0.8 8  2.1  89    0    0 241 -297  2
4179500 2403500  1  4  3  -6.8  971 300  1.1 8  2.1  89    0    0 244 -298  2
4179500 2403500  1  4  4  -6.5  971 261  1.4 8  2.1  87    0    0 244 -299  2
4179500 2403500  1  4  5  -6.5  971 270  1.2 8  2.1  87    0    0 244 -299  2
4179500 2403500  1  4  6  -6.3  971 300  1.3 8  2.1  88    0    0 244 -299  2
4179500 2403500  1  4  7  -6.3  970 260  1.5 8  2.1  86    0    0 244 -299  2
4179500 2403500  1  4  8  -6.0  970 260  3.0 7  2.1  84    0    0 241 -299  2
4179500 2403500  1  4  9  -6.1  969 260  1.8 7  2.1  83    5   19 237 -299  2
4179500 2403500  1  4 10  -6.0  970 260  1.8 7  2.1  84    9   70 239 -302  2
4179500 2403500  1  4 11  -5.7  970 300  2.9 8  2.1  83    0   65 247 -306  2
4179500 2403500  1  4 12  -5.4  970 290  3.5 8  2.2  83    0   49 257 -311  2
4179500 2403500  1  4 13  -5.3  970 270  3.2 8  2.2  84    0   47 260 -315  2
4179500 2403500  1  4 14  -4.7  969 280  3.9 7  2.3  84    0   87 257 -318  2
4179500 2403500  1  4 15  -4.8  969 280  3.3 8  2.4  86    0   41 259 -319  2
4179500 2403500  1  4 16  -5.0  969 313  2.6 8  2.5  92    0   17 264 -319  2
4179500 2403500  1  4 17  -4.9  969 240  1.9 8  2.6  94    0    2 263 -317  2
4179500 2403500  1  4 18  -3.9  969 250  3.4 8  2.6  90    0    0 262 -314  2
4179500 2403500  1  4 19  -3.3  968 250  5.0 8  2.6  87    0    0 263 -312  2
4179500 2403500  1  4 20  -3.0  969 280  4.7 7  2.8  89    0    0 260 -310  2
4179500 2403500  1  4 21  -2.7  969 270  4.5 7  2.9  91    0    0 257 -309  2
4179500 2403500  1  4 22  -2.2  969 280  6.3 8  3.0  90    0    0 263 -309  2
4179500 2403500  1  4 23  -2.1  969 280  6.6 8  3.0  89    0    0 267 -308  2
4179500 2403500  1  4 24  -1.9  969 270  6.8 8  3.1  90    0    0 267 -308  2
4179500 2403500  1  5  1  -1.6  969 270  7.2 8  3.1  90    0    0 268 -307  2
4179500 2403500  1  5  2  -1.3  969 270  7.6 8  3.2  89    0    0 269 -307  2
4179500 2403500  1  5  3  -1.2  969 270  7.5 8  3.2  89    0    0 269 -307  2
4179500 2403500  1  5  4  -1.0  969 270  7.1 8  3.3  89    0    0 270 -307  2
4179500 2403500  1  5  5  -1.0  969 270  7.3 7  3.3  91    0    0 265 -307  2
4179500 2403500  1  5  6  -0.8  968 270  6.9 8  3.4  93    0    0 266 -307  2
4179500 2403500  1  5  7  -0.6  969 270  8.0 7  3.5  92    0    0 266 -307  2
4179500 2403500  1  5  8  -0.4  969 270  8.1 8  3.6  93    0    0 266 -307  2
4179500 2403500  1  5  9  -0.2  969 280  7.7 6  3.7  95   16   10 264 -306  2
4179500 2403500  1  5 10   0.0  970 280  7.8 5  3.7  94    6   55 253 -308  2
4179500 2403500  1  5 11   0.4  970 280  8.1 8  3.6  90    0   52 262 -312  2
4179500 2403500  1  5 12   0.6  971 280  7.9 6  3.7  89    0   86 270 -315  2
4179500 2403500  1  5 13   0.8  971 280  6.4 5  3.7  89    1  100 260 -318  2
4179500 2403500  1  5 14   0.9  971 280  6.3 5  3.7  88    1   90 256 -319  2
4179500 2403500  1  5 15   0.5  971 280  4.9 5  3.7  90    0   60 257 -319  2
4179500 2403500  1  5 16   0.3  972 280  4.4 6  3.8  93    0   32 261 -318  2
4179500 2403500  1  5 17   0.5  973 280  4.2 8  3.8  94    0    2 274 -317  2
4179500 2403500  1  5 18   0.3  973 290  3.2 8  3.8  93    0    0 283 -315  2
4179500 2403500  1  5 19   0.2  974  88  2.3 8  3.7  92    0    0 283 -314  2
4179500 2403500  1  5 20   0.1  975 102  2.1 8  3.7  92    0    0 282 -314  2
4179500 2403500  1  5 21  -0.8  975  70  1.4 7  3.5  91    0    0 275 -313  2
4179500 2403500  1  5 22  -0.8  976  30  1.6 8  3.2  87    0    0 274 -313  2
4179500 2403500  1  5 23  -1.1  976 130  1.1 8  3.2  86    0    0 277 -313  2
4179500 2403500  1  5 24  -1.6  976 110  1.7 8  3.1  88    0    0 276 -314  2
4179500 2403500  1  6  1  -1.7  976  90  1.8 6  3.1  88    0    0 267 -314  2
4179500 2403500  1  6  2  -2.0  976  90  2.6 7  3.0  86    0    0 263 -315  2
4179500 2403500  1  6  3  -2.1  976 110  1.9 6  2.8  84    0    0 262 -315  2
4179500 2403500  1  6  4  -2.4  976 100  2.8 6  2.8  85    0    0 258 -315  2
4179500 2403500  1  6  5  -2.7  976 110  2.9 7  2.8  87    0    0 262 -316  2
4179500 2403500  1  6  6  -2.7  976 110  2.6 8  2.8  88    0    0 273 -316  2
4179500 2403500  1  6  7  -3.1  976 110  2.8 8  2.8  90    0    0 278 -317  2
4179500 2403500  1  6  8  -3.4  976 110  3.0 8  2.8  89    0    0 279 -318  2
4179500 2403500  1  6  9  -3.8  976 110  4.2 8  2.7  89    0    5 280 -319  2
