#1
double	presence(35040, 2)
1525150800	0
1525151700	0
1525152600	0
1525153500	0
1525154400	0
1525155300	0
1525156200	0
1525157100	0
1525158000	0
1525158900	0
1525159800	0
1525160700	0
1525161600	0
1525162500	0
1525163400	0
1525164300	0
1525165200	0
1525166100	0
1525167000	0
1525167900	0
1525168800	0
1525169700	0
1525170600	0
1525171500	0
1525172400	0
1525173300	0
1525174200	0
1525175100	0
1525176000	0
1525176900	0
1525177800	0
1525178700	0
1525179600	0
1525180500	0
1525181400	0
1525182300	0
1525183200	0
1525184100	0
1525185000	0
1525185900	0
1525186800	1
1525187700	1
1525188600	1
1525189500	1
1525190400	1
1525191300	1
1525192200	1
1525193100	1
1525194000	1
1525194900	1
1525195800	1
1525196700	1
1525197600	1
1525198500	1
1525199400	1
1525200300	1
1525201200	1
1525202100	1
1525203000	1
1525203900	1
1525204800	1
1525205700	1
1525206600	1
1525207500	1
1525208400	0
1525209300	0
1525210200	0
1525211100	0
1525212000	0
1525212900	0
1525213800	0
1525214700	0
1525215600	0
1525216500	0
1525217400	0
1525218300	0
1525219200	0
1525220100	0
1525221000	0
1525221900	0
1525222800	0
1525223700	0
1525224600	0
1525225500	0
1525226400	0
1525227300	0
1525228200	0
1525229100	0
1525230000	0
1525230900	0
1525231800	0
1525232700	0
1525233600	0
1525234500	0
1525235400	0
1525236300	0
1525237200	0
1525238100	0
1525239000	0
1525239900	0
1525240800	0
1525241700	0
1525242600	0
1525243500	0
1525244400	0
1525245300	0
1525246200	0
1525247100	0
1525248000	0
1525248900	0
1525249800	0
1525250700	0
1525251600	0
1525252500	0
1525253400	0
1525254300	0
1525255200	0
1525256100	0
1525257000	0
1525257900	0
1525258800	0
1525259700	0
1525260600	0
1525261500	0
1525262400	0
1525263300	0
1525264200	0
1525265100	0
1525266000	0
1525266900	0
1525267800	0
1525268700	0
1525269600	0
1525270500	0
1525271400	0
1525272300	0
1525273200	1
1525274100	1
1525275000	1
1525275900	1
1525276800	1
1525277700	1
1525278600	1
1525279500	1
1525280400	1
1525281300	1
1525282200	1
1525283100	1
1525284000	1
1525284900	1
1525285800	1
1525286700	1
1525287600	1
1525288500	1
1525289400	1
1525290300	1
1525291200	1
1525292100	1
1525293000	1
1525293900	1
1525294800	0
1525295700	0
1525296600	0
1525297500	0
1525298400	0
1525299300	0
1525300200	0
1525301100	0
1525302000	0
1525302900	0
1525303800	0
1525304700	0
1525305600	0
1525306500	0
1525307400	0
1525308300	0
1525309200	0
1525310100	0
1525311000	0
1525311900	0
1525312800	0
1525313700	0
1525314600	0
1525315500	0
1525316400	0
1525317300	0
1525318200	0
1525319100	0
1525320000	0
1525320900	0
1525321800	0
1525322700	0
1525323600	0
1525324500	0
1525325400	0
1525326300	0
1525327200	0
1525328100	0
1525329000	0
1525329900	0
1525330800	0
1525331700	0
1525332600	0
1525333500	0
1525334400	0
1525335300	0
1525336200	0
1525337100	0
1525338000	0
1525338900	0
1525339800	0
1525340700	0
1525341600	0
1525342500	0
1525343400	0
1525344300	0
1525345200	0
1525346100	0
1525347000	0
1525347900	0
1525348800	0
1525349700	0
1525350600	0
1525351500	0
1525352400	0
1525353300	0
1525354200	0
1525355100	0
1525356000	0
1525356900	0
1525357800	0
1525358700	0
1525359600	1
1525360500	1
1525361400	1
1525362300	1
1525363200	1
1525364100	1
1525365000	1
1525365900	1
1525366800	1
1525367700	1
1525368600	1
1525369500	1
1525370400	1
1525371300	1
1525372200	1
1525373100	1
1525374000	1
1525374900	1
1525375800	1
1525376700	1
1525377600	1
1525378500	1
1525379400	1
1525380300	1
1525381200	0
1525382100	0
1525383000	0
1525383900	0
1525384800	0
1525385700	0
1525386600	0
1525387500	0
1525388400	0
1525389300	0
1525390200	0
1525391100	0
1525392000	0
1525392900	0
1525393800	0
1525394700	0
1525395600	0
1525396500	0
