#1
double	Pel(35040, 2)
1515442500	364
1515443400	364
1515444300	364
1515445200	348
1515446100	348
1515447000	348
1515447900	348
1515448800	276
1515449700	276
1515450600	276
1515451500	276
1515452400	184
1515453300	184
1515454200	184
1515455100	184
1515456000	176
1515456900	176
1515457800	176
1515458700	176
1515459600	208
1515460500	208
1515461400	208
1515462300	208
1515463200	200
1515464100	200
1515465000	200
1515465900	200
1515466800	172
1515467700	172
1515468600	172
1515469500	172
1515470400	196
1515471300	196
1515472200	196
1515473100	196
1515474000	280
1515474900	280
1515475800	280
1515476700	280
1515477600	372
1515478500	372
1515479400	372
1515480300	372
1515481200	324
1515482100	324
1515483000	324
1515483900	324
1515484800	176
1515485700	176
1515486600	176
1515487500	176
1515488400	176
1515489300	176
1515490200	176
1515491100	176
1515492000	152
1515492900	152
1515493800	152
1515494700	152
1515495600	136
1515496500	136
1515497400	136
1515498300	136
1515499200	132
1515500100	132
1515501000	132
1515501900	132
1515502800	136
1515503700	136
1515504600	136
1515505500	136
1515506400	136
1515507300	136
1515508200	136
1515509100	136
1515510000	180
1515510900	180
1515511800	180
1515512700	180
1515513600	336
1515514500	336
1515515400	336
1515516300	336
1515517200	652
1515518100	652
1515519000	652
1515519900	652
1515520800	644
1515521700	644
1515522600	644
1515523500	644
1515524400	396
1515525300	396
1515526200	396
1515527100	396
1515528000	364
1515528900	364
1515529800	364
1515530700	364
1515531600	348
1515532500	348
1515533400	348
1515534300	348
1515535200	276
1515536100	276
1515537000	276
1515537900	276
1515538800	184
1515539700	184
1515540600	184
1515541500	184
1515542400	176
1515543300	176
1515544200	176
1515545100	176
1515546000	208
1515546900	208
1515547800	208
1515548700	208
1515549600	200
1515550500	200
1515551400	200
1515552300	200
1515553200	172
1515554100	172
1515555000	172
1515555900	172
1515556800	196
1515557700	196
1515558600	196
1515559500	196
1515560400	280
1515561300	280
1515562200	280
1515563100	280
1515564000	372
1515564900	372
1515565800	372
1515566700	372
1515567600	324
1515568500	324
1515569400	324
1515570300	324
1515571200	176
1515572100	176
1515573000	176
1515573900	176
1515574800	176
1515575700	176
1515576600	176
1515577500	176
1515578400	152
1515579300	152
1515580200	152
1515581100	152
1515582000	136
1515582900	136
1515583800	136
1515584700	136
1515585600	132
1515586500	132
1515587400	132
1515588300	132
1515589200	136
1515590100	136
1515591000	136
1515591900	136
1515592800	136
1515593700	136
1515594600	136
1515595500	136
1515596400	180
1515597300	180
1515598200	180
1515599100	180
1515600000	336
1515600900	336
1515601800	336
1515602700	336
1515603600	652
1515604500	652
1515605400	652
1515606300	652
1515607200	644
1515608100	644
1515609000	644
1515609900	644
1515610800	396
1515611700	396
1515612600	396
1515613500	396
1515614400	364
1515615300	364
1515616200	364
1515617100	364
1515618000	348
1515618900	348
1515619800	348
1515620700	348
1515621600	276
1515622500	276
1515623400	276
1515624300	276
1515625200	184
1515626100	184
1515627000	184
1515627900	184
1515628800	176
1515629700	176
1515630600	176
1515631500	176
1515632400	208
1515633300	208
1515634200	208
1515635100	208
1515636000	200
1515636900	200
1515637800	200
1515638700	200
1515639600	172
1515640500	172
1515641400	172
1515642300	172
1515643200	196
1515644100	196
1515645000	196
1515645900	196
1515646800	280
1515647700	280
1515648600	280
1515649500	280
1515650400	372
1515651300	372
1515652200	372
1515653100	372
1515654000	324
1515654900	324
1515655800	324
1515656700	324
1515657600	176
1515658500	176
1515659400	176
1515660300	176
1515661200	176
1515662100	176
1515663000	176
1515663900	176
1515664800	152
1515665700	152
1515666600	152
1515667500	152
1515668400	136
1515669300	136
1515670200	136
1515671100	136
1515672000	132
1515672900	132
1515673800	132
1515674700	132
1515675600	136
1515676500	136
1515677400	136
1515678300	136
1515679200	136
1515680100	136
1515681000	136
1515681900	136
1515682800	180
1515683700	180
1515684600	180
1515685500	180
1515686400	336
1515687300	336
1515688200	336
1515689100	336
1515690000	652
1515690900	652
1515691800	652
1515692700	652
1515693600	644
1515694500	644
1515695400	644
1515696300	644
1515697200	396
1515698100	396
1515699000	396
1515699900	396
1515700800	364
1515701700	364
1515702600	364
1515703500	364
1515704400	348
1515705300	348
1515706200	348
1515707100	348
1515708000	276
1515708900	276
1515709800	276
1515710700	276
1515711600	184
1515712500	184
1515713400	184
1515714300	184
1515715200	176
1515716100	176
1515717000	176
1515717900	176
1515718800	208
1515719700	208
1515720600	208
1515721500	208
1515722400	200
1515723300	200
1515724200	200
1515725100	200
1515726000	172
1515726900	172
1515727800	172
1515728700	172
1515729600	196
1515730500	196
1515731400	196
1515732300	196
1515733200	280
1515734100	280
1515735000	280
1515735900	280
1515736800	372
1515737700	372
1515738600	372
1515739500	372
1515740400	324
1515741300	324
1515742200	324
1515743100	324
1515744000	176
1515744900	176
1515745800	176
1515746700	176
1515747600	176
1515748500	176
1515749400	176
1515750300	176
1515751200	152
1515752100	152
1515753000	152
1515753900	152
1515754800	136
1515755700	136
1515756600	136
1515757500	136
1515758400	132
1515759300	132
1515760200	132
1515761100	132
1515762000	136
1515762900	136
1515763800	136
1515764700	136
1515765600	136
1515766500	136
1515767400	136
1515768300	136
1515769200	180
1515770100	180
1515771000	180
1515771900	180
1515772800	336
1515773700	336
1515774600	336
1515775500	336
1515776400	652
1515777300	652
1515778200	652
1515779100	652
1515780000	644
1515780900	644
1515781800	644
1515782700	644
1515783600	396
1515784500	396
1515785400	396
1515786300	396
1515787200	364
1515788100	364
1515789000	364
1515789900	364
1515790800	348
1515791700	348
1515792600	348
1515793500	348
1515794400	276
1515795300	276
1515796200	276
1515797100	276
1515798000	184
1515798900	184
1515799800	184
1515800700	184
1515801600	176
1515802500	176
1515803400	176
1515804300	176
1515805200	208
1515806100	208
1515807000	208
1515807900	208
1515808800	200
1515809700	200
1515810600	200
1515811500	200
1515812400	172
1515813300	172
1515814200	172
1515815100	172
1515816000	196
1515816900	196
1515817800	196
1515818700	196
1515819600	280
1515820500	280
1515821400	280
1515822300	280
1515823200	372
1515824100	372
1515825000	372
1515825900	372
1515826800	324
1515827700	324
1515828600	324
1515829500	324
1515830400	176
1515831300	176
1515832200	176
1515833100	176
1515834000	176
1515834900	176
1515835800	176
1515836700	176
1515837600	152
1515838500	152
1515839400	152
1515840300	152
1515841200	136
1515842100	136
1515843000	136
1515843900	136
1515844800	132
1515845700	132
1515846600	132
1515847500	132
1515848400	136
1515849300	136
1515850200	136
1515851100	136
1515852000	136
1515852900	136
1515853800	136
1515854700	136
1515855600	180
1515856500	180
1515857400	180
1515858300	180
1515859200	336
1515860100	336
1515861000	336
1515861900	336
1515862800	652
1515863700	652
1515864600	652
1515865500	652
1515866400	644
1515867300	644
1515868200	644
1515869100	644
1515870000	396
1515870900	396
1515871800	396
1515872700	396
1515873600	364
1515874500	364
1515875400	364
1515876300	364
1515877200	348
1515878100	348
1515879000	348
1515879900	348
1515880800	276
1515881700	276
1515882600	276
1515883500	276
1515884400	184
1515885300	184
1515886200	184
1515887100	184
1515888000	176
1515888900	176
1515889800	176
1515890700	176
1515891600	208
1515892500	208
1515893400	208
1515894300	208
1515895200	200
1515896100	200
1515897000	200
1515897900	200
1515898800	172
1515899700	172
1515900600	172
1515901500	172
1515902400	196
1515903300	196
1515904200	196
1515905100	196
1515906000	280
1515906900	280
1515907800	280
1515908700	280
1515909600	372
1515910500	372
1515911400	372
1515912300	372
1515913200	324
1515914100	324
1515915000	324
1515915900	324
1515916800	176
1515917700	176
1515918600	176
1515919500	176
1515920400	176
1515921300	176
1515922200	176
1515923100	176
1515924000	152
1515924900	152
1515925800	152
1515926700	152
1515927600	136
1515928500	136
1515929400	136
1515930300	136
1515931200	132
1515932100	132
1515933000	132
1515933900	132
1515934800	136
1515935700	136
1515936600	136
1515937500	136
1515938400	136
1515939300	136
1515940200	136
1515941100	136
1515942000	180
1515942900	180
1515943800	180
1515944700	180
1515945600	336
1515946500	336
1515947400	336
1515948300	336
1515949200	652
1515950100	652
1515951000	652
1515951900	652
1515952800	644
1515953700	644
1515954600	644
1515955500	644
1515956400	396
1515957300	396
1515958200	396
1515959100	396
1515960000	364
1515960900	364
1515961800	364
1515962700	364
1515963600	348
1515964500	348
1515965400	348
1515966300	348
1515967200	276
1515968100	276
1515969000	276
1515969900	276
1515970800	184
1515971700	184
1515972600	184
1515973500	184
1515974400	176
1515975300	176
1515976200	176
1515977100	176
1515978000	208
1515978900	208
1515979800	208
1515980700	208
1515981600	200
1515982500	200
1515983400	200
1515984300	200
1515985200	172
1515986100	172
1515987000	172
1515987900	172
1515988800	196
1515989700	196
1515990600	196
1515991500	196
1515992400	280
1515993300	280
1515994200	280
1515995100	280
1515996000	372
1515996900	372
1515997800	372
1515998700	372
1515999600	324
1516000500	324
1516001400	324
1516002300	324
1516003200	176
1516004100	176
1516005000	176
1516005900	176
1516006800	176
1516007700	176
1516008600	176
1516009500	176
1516010400	152
1516011300	152
1516012200	152
1516013100	152
1516014000	136
1516014900	136
1516015800	136
1516016700	136
1516017600	132
1516018500	132
1516019400	132
1516020300	132
1516021200	136
1516022100	136
1516023000	136
1516023900	136
1516024800	136
1516025700	136
1516026600	136
1516027500	136
1516028400	180
1516029300	180
1516030200	180
1516031100	180
1516032000	336
1516032900	336
1516033800	336
1516034700	336
1516035600	652
1516036500	652
1516037400	652
1516038300	652
1516039200	644
1516040100	644
1516041000	644
1516041900	644
1516042800	396
1516043700	396
1516044600	396
1516045500	396
1516046400	364
1516047300	364
1516048200	364
1516049100	364
1516050000	348
1516050900	348
1516051800	348
1516052700	348
1516053600	276
1516054500	276
1516055400	276
1516056300	276
1516057200	184
1516058100	184
1516059000	184
1516059900	184
1516060800	176
1516061700	176
1516062600	176
1516063500	176
1516064400	208
1516065300	208
1516066200	208
1516067100	208
1516068000	200
1516068900	200
1516069800	200
1516070700	200
1516071600	172
1516072500	172
1516073400	172
1516074300	172
1516075200	196
1516076100	196
1516077000	196
1516077900	196
1516078800	280
1516079700	280
1516080600	280
1516081500	280
1516082400	372
1516083300	372
1516084200	372
1516085100	372
1516086000	324
1516086900	324
1516087800	324
1516088700	324
1516089600	176
1516090500	176
1516091400	176
1516092300	176
1516093200	176
1516094100	176
1516095000	176
1516095900	176
1516096800	152
1516097700	152
1516098600	152
1516099500	152
1516100400	136
1516101300	136
1516102200	136
1516103100	136
1516104000	132
1516104900	132
1516105800	132
1516106700	132
1516107600	136
1516108500	136
1516109400	136
1516110300	136
1516111200	136
1516112100	136
1516113000	136
1516113900	136
1516114800	180
1516115700	180
1516116600	180
1516117500	180
1516118400	336
1516119300	336
1516120200	336
1516121100	336
1516122000	652
1516122900	652
1516123800	652
1516124700	652
1516125600	644
1516126500	644
1516127400	644
1516128300	644
1516129200	396
1516130100	396
1516131000	396
1516131900	396
1516132800	364
1516133700	364
1516134600	364
1516135500	364
1516136400	348
1516137300	348
1516138200	348
1516139100	348
1516140000	276
1516140900	276
1516141800	276
1516142700	276
1516143600	184
1516144500	184
1516145400	184
1516146300	184
1516147200	176
1516148100	176
1516149000	176
1516149900	176
1516150800	208
1516151700	208
1516152600	208
1516153500	208
1516154400	200
1516155300	200
1516156200	200
1516157100	200
1516158000	172
1516158900	172
1516159800	172
1516160700	172
1516161600	196
1516162500	196
1516163400	196
1516164300	196
1516165200	280
1516166100	280
1516167000	280
1516167900	280
1516168800	372
1516169700	372
1516170600	372
1516171500	372
1516172400	324
1516173300	324
1516174200	324
1516175100	324
1516176000	176
1516176900	176
1516177800	176
1516178700	176
1516179600	176
1516180500	176
1516181400	176
1516182300	176
1516183200	152
1516184100	152
1516185000	152
1516185900	152
1516186800	136
1516187700	136
1516188600	136
1516189500	136
1516190400	132
1516191300	132
1516192200	132
1516193100	132
1516194000	136
1516194900	136
1516195800	136
1516196700	136
1516197600	136
1516198500	136
1516199400	136
1516200300	136
1516201200	180
1516202100	180
1516203000	180
1516203900	180
1516204800	336
1516205700	336
1516206600	336
1516207500	336
1516208400	652
1516209300	652
1516210200	652
1516211100	652
1516212000	644
1516212900	644
1516213800	644
1516214700	644
1516215600	396
1516216500	396
1516217400	396
1516218300	396
1516219200	364
1516220100	364
1516221000	364
1516221900	364
1516222800	348
1516223700	348
1516224600	348
1516225500	348
1516226400	276
1516227300	276
1516228200	276
1516229100	276
1516230000	184
