#1
double	presence(17520, 2)
1609673850.0	1
1609675650.0	0
1609677450.0	0
1609679250.0	0
1609681050.0	1
1609682850.0	1
1609684650.0	1
1609686450.0	1
1609688250.0	1
1609690050.0	1
1609691850.0	0
1609693650.0	0
1609695450.0	0
1609697250.0	0
1609699050.0	0
1609700850.0	0
1609702650.0	0
1609704450.0	0
1609706250.0	0
1609708050.0	0
1609709850.0	0
1609711650.0	0
1609713450.0	0
1609715250.0	0
1609717050.0	1
1609718850.0	0
1609720650.0	0
1609722450.0	0
1609724250.0	0
1609726050.0	0
1609727850.0	0
1609729650.0	0
1609731450.0	0
1609733250.0	0
1609735050.0	0
1609736850.0	0
1609738650.0	0
1609740450.0	0
1609742250.0	0
1609744050.0	0
1609745850.0	0
1609747650.0	0
1609749450.0	0
1609751250.0	1
1609753050.0	1
1609754850.0	1
1609756650.0	1
1609758450.0	1
1609760250.0	1
1609762050.0	1
1609763850.0	1
1609765650.0	1
1609767450.0	0
1609769250.0	1
1609771050.0	1
1609772850.0	0
1609774650.0	0
1609776450.0	1
1609778250.0	0
1609780050.0	1
1609781850.0	1
1609783650.0	1
1609785450.0	0
1609787250.0	0
1609789050.0	0
1609790850.0	0
1609792650.0	0
1609794450.0	0
1609796250.0	0
1609798050.0	0
1609799850.0	0
1609801650.0	0
1609803450.0	0
1609805250.0	0
1609807050.0	0
1609808850.0	0
1609810650.0	0
1609812450.0	0
1609814250.0	0
1609816050.0	0
1609817850.0	0
1609819650.0	0
1609821450.0	0
1609823250.0	0
1609825050.0	0
1609826850.0	0
1609828650.0	0
1609830450.0	0
1609832250.0	0
1609834050.0	0
1609835850.0	0
1609837650.0	1
1609839450.0	1
1609841250.0	1
1609843050.0	1
1609844850.0	1
1609846650.0	0
1609848450.0	1
1609850250.0	1
1609852050.0	1
1609853850.0	1
1609855650.0	1
1609857450.0	1
1609859250.0	1
1609861050.0	1
1609862850.0	1
1609864650.0	1
1609866450.0	1
1609868250.0	1
1609870050.0	1
1609871850.0	1
1609873650.0	1
1609875450.0	1
1609877250.0	1
1609879050.0	0
1609880850.0	0
1609882650.0	0
1609884450.0	1
1609886250.0	1
1609888050.0	1
1609889850.0	0
1609891650.0	1
1609893450.0	0
1609895250.0	0
1609897050.0	0
1609898850.0	0
1609900650.0	0
1609902450.0	0
1609904250.0	0
1609906050.0	0
1609907850.0	0
1609909650.0	0
1609911450.0	0
1609913250.0	0
1609915050.0	0
1609916850.0	0
1609918650.0	0
1609920450.0	0
1609922250.0	0
1609924050.0	0
1609925850.0	1
1609927650.0	1
1609929450.0	1
1609931250.0	1
1609933050.0	1
1609934850.0	1
1609936650.0	0
1609938450.0	0
1609940250.0	0
1609942050.0	0
1609943850.0	0
1609945650.0	0
1609947450.0	0
1609949250.0	0
1609951050.0	0
1609952850.0	1
1609954650.0	1
1609956450.0	1
1609958250.0	1
1609960050.0	1
1609961850.0	0
1609963650.0	0
1609965450.0	0
1609967250.0	0
1609969050.0	0
1609970850.0	0
1609972650.0	0
1609974450.0	0
1609976250.0	0
1609978050.0	0
1609979850.0	0
1609981650.0	0
1609983450.0	0
1609985250.0	0
1609987050.0	0
1609988850.0	0
1609990650.0	0
1609992450.0	0
1609994250.0	0
1609996050.0	0
1609997850.0	0
1609999650.0	0
1610001450.0	0
1610003250.0	0
1610005050.0	0
1610006850.0	0
1610008650.0	0
1610010450.0	1
1610012250.0	1
1610014050.0	1
1610015850.0	1
1610017650.0	1
1610019450.0	1
1610021250.0	1
1610023050.0	1
1610024850.0	0
1610026650.0	1
1610028450.0	0
1610030250.0	1
1610032050.0	0
1610033850.0	1
1610035650.0	1
1610037450.0	1
1610039250.0	1
1610041050.0	1
1610042850.0	1
1610044650.0	1
1610046450.0	1
1610048250.0	0
1610050050.0	0
1610051850.0	0
1610053650.0	0
1610055450.0	0
1610057250.0	0
1610059050.0	0
1610060850.0	0
1610062650.0	0
1610064450.0	0
1610066250.0	0
1610068050.0	0
1610069850.0	0
1610071650.0	0
1610073450.0	0
1610075250.0	0
1610077050.0	0
1610078850.0	0
1610080650.0	0
1610082450.0	0
